State,State-Code,District,female_school_attendance,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance
Karnataka,KA,Davanagere,74.9,25.2,63.0,63.1,25.0,78.9,7508.0,98.3,68.9,88.1
Karnataka,KA,Dharwad,78.2,24.5,78.7,85.2,45.1,98.0,3225.0,99.7,69.2,99.0
Karnataka,KA,Gadag,73.3,28.3,52.6,68.7,33.5,84.7,5726.0,96.2,67.5,98.2
Karnataka,KA,Gulbarga,65.0,17.4,59.3,53.6,26.6,79.6,3738.0,88.7,60.5,87.1
Karnataka,KA,Hassan,74.4,36.9,67.6,75.8,50.1,92.6,3421.0,100.0,71.7,97.1
Karnataka,KA,Haveri,72.6,28.8,73.3,58.7,30.5,92.4,11573.0,97.2,82.6,95.8
Karnataka,KA,Kodagu,83.6,45.6,70.6,74.4,46.8,93.3,2830.0,98.4,73.3,94.1
Karnataka,KA,Kolar,71.6,33.9,78.0,90.9,60.2,95.7,3188.0,99.6,76.1,99.3
Karnataka,KA,Koppal,63.9,20.6,52.4,50.7,15.8,80.7,4909.0,90.7,68.2,89.2
Karnataka,KA,Mandya,67.7,39.9,85.6,90.1,54.8,95.5,4109.0,99.5,60.2,97.3
Karnataka,KA,Mysore,72.4,26.2,82.0,85.7,65.2,93.5,4143.0,100.0,56.2,97.8
Karnataka,KA,Raichur,55.3,17.8,66.4,67.5,32.8,76.1,6277.0,88.9,64.4,83.3
Karnataka,KA,Ramanagara,68.8,35.7,91.8,88.7,47.9,87.0,4877.0,100.0,68.8,100.0
Karnataka,KA,Shimoga,78.8,26.5,58.7,79.4,56.6,91.5,5284.0,99.7,74.1,96.5
Karnataka,KA,Tumkur,72.3,31.0,68.6,80.4,61.8,95.2,4533.0,100.0,66.9,93.1
Karnataka,KA,Udupi,82.0,50.9,75.1,59.4,51.3,89.2,2886.0,98.9,37.6,90.2
Karnataka,KA,Uttara Kannada,81.1,32.0,80.4,57.9,35.6,87.4,5362.0,99.3,69.5,99.2
Karnataka,KA,Yadgir,51.9,16.7,57.4,63.6,29.6,73.3,4386.0,93.3,73.4,93.0
Kerala,KL,Alappuzha,97.8,60.4,85.1,65.7,61.0,89.2,10557.0,99.4,49.0,100.0
Kerala,KL,Ernakulam,97.2,46.2,92.6,82.2,82.8,96.1,4940.0,99.1,23.2,100.0
Kerala,KL,Idukki,93.0,58.1,93.3,74.3,75.6,94.0,4942.0,100.0,47.6,100.0
Kerala,KL,Kannur,96.7,47.9,94.8,78.3,78.0,93.4,6125.0,100.0,33.6,100.0
Kerala,KL,Kasaragod,90.8,44.0,97.4,91.2,89.4,95.0,3778.0,100.0,29.9,100.0
Kerala,KL,Kollam,96.6,56.0,92.6,79.3,89.0,91.4,6836.0,100.0,44.7,100.0
Kerala,KL,Kottayam,97.9,53.2,81.6,55.1,51.1,85.0,10236.0,98.7,44.3,99.3
Kerala,KL,Kozhikode,97.7,61.1,98.3,91.8,85.7,91.0,4734.0,100.0,42.2,100.0
Kerala,KL,Malappuram,94.9,42.8,95.3,90.4,92.3,96.9,6760.0,100.0,25.6,100.0
Kerala,KL,Palakkad,89.6,53.8,97.7,68.4,71.7,97.5,6211.0,100.0,29.6,100.0
Kerala,KL,Pathanamthitta,97.7,50.1,92.9,83.9,74.7,95.2,7608.0,99.1,36.8,99.2
Kerala,KL,Thiruvananthapuram,94.5,48.7,87.7,55.3,71.6,86.2,10165.0,99.5,34.7,100.0
Kerala,KL,Thrissur,97.8,48.7,97.1,82.4,78.6,95.2,5007.0,100.0,30.9,100.0
Kerala,KL,Wayanad,88.2,64.8,97.6,94.2,94.9,95.9,7967.0,100.0,37.6,100.0
Ladakh,LH,Kargil,69.6,13.6,91.0,88.0,19.6,78.3,3569.0,93.7,93.7,95.6
Ladakh,LH,Leh (Ladakh),66.3,16.2,80.9,69.6,9.5,80.8,4043.0,96.4,95.7,98.4
Maharashtra,MH,Ahmednagar,77.4,12.0,71.4,76.6,53.3,90.9,5575.0,97.9,45.5,95.0
Maharashtra,MH,Akola,86.3,40.1,75.1,76.3,60.6,82.3,1753.0,97.7,65.9,86.4
Maharashtra,MH,Amravati,86.2,31.9,89.1,71.7,38.1,80.2,3557.0,91.3,65.4,89.7
Maharashtra,MH,Aurangabad,78.4,12.4,65.2,57.2,14.5,76.4,4039.0,94.8,61.1,96.3
Maharashtra,MH,Bhandara,80.3,30.0,83.7,79.0,64.4,87.5,2584.0,100.0,94.1,98.4
Maharashtra,MH,Bid,64.6,9.3,65.6,56.8,28.4,79.8,3988.0,94.0,63.7,90.8
Maharashtra,MH,Buldana,78.1,37.9,73.6,72.7,61.2,86.7,2641.0,93.9,70.9,92.4
Maharashtra,MH,Chandrapur,78.9,28.9,76.6,68.5,69.2,92.3,2109.0,99.6,85.2,96.5
Maharashtra,MH,Dhule,73.5,19.8,61.2,63.2,30.7,77.2,2269.0,77.2,48.8,84.2
Maharashtra,MH,Gadchiroli,67.1,33.3,84.6,86.8,70.8,91.5,1847.0,97.3,90.5,98.2
Maharashtra,MH,Gondiya,80.4,30.6,69.0,66.2,46.0,90.0,1684.0,99.1,88.6,98.3
Maharashtra,MH,Hingoli,69.4,14.7,82.5,66.6,23.2,82.4,3114.0,94.0,68.6,95.3
Maharashtra,MH,Jalgaon,77.5,11.9,60.3,58.4,28.9,74.5,3366.0,86.5,40.2,81.9
Maharashtra,MH,Jalna,67.6,9.7,56.0,58.4,27.2,74.0,4178.0,92.8,57.3,86.5
Maharashtra,MH,Kolhapur,80.2,16.5,71.5,81.8,58.8,95.2,2958.0,99.2,45.6,93.6
Maharashtra,MH,Latur,70.6,33.6,74.6,72.6,53.6,93.3,2483.0,94.7,66.8,93.4
Maharashtra,MH,Mumbai,92.5,30.7,86.2,87.1,72.4,90.6,6233.0,99.5,55.5,98.3
Maharashtra,MH,Mumbai Suburban,88.5,20.2,58.1,72.2,54.8,91.5,3943.0,98.1,56.0,98.5
Maharashtra,MH,Nagpur,86.5,25.6,78.1,71.4,57.1,91.4,3249.0,100.0,61.9,96.6
Maharashtra,MH,Nanded,68.1,15.7,62.5,53.5,21.7,76.1,2964.0,94.8,66.7,92.6
Maharashtra,MH,Nandurbar,63.5,15.3,51.0,58.2,38.3,74.4,1313.0,76.3,60.7,77.9
Maharashtra,MH,Nashik,78.2,14.7,66.9,66.4,43.4,76.5,1698.0,90.5,52.0,89.9
Maharashtra,MH,Osmanabad,71.3,14.8,83.9,89.2,66.1,94.4,2654.0,98.1,68.4,99.0
Maharashtra,MH,Palghar,77.5,18.8,84.7,86.3,65.3,97.0,1948.0,94.2,65.9,95.7
Maharashtra,MH,Parbhani,67.1,10.5,58.6,47.4,17.9,64.4,2779.0,85.6,53.6,90.8
Maharashtra,MH,Pune,84.8,14.4,79.6,68.6,50.2,84.2,3677.0,98.0,43.4,98.5
Maharashtra,MH,Raigarh,73.7,26.3,83.8,83.1,61.6,93.0,1676.0,96.6,54.8,97.6
Maharashtra,MH,Ratnagiri,80.3,16.6,64.6,78.6,54.6,89.7,3096.0,97.8,53.5,95.6
Maharashtra,MH,Sangli,80.4,12.3,66.0,80.1,58.2,95.6,3548.0,98.0,38.5,97.6
Maharashtra,MH,Satara,78.5,11.4,77.5,81.7,59.5,94.5,2607.0,97.1,43.8,97.9
Maharashtra,MH,Sindhudurg,83.1,13.2,70.3,73.4,59.6,96.7,3290.0,100.0,65.5,98.6
Maharashtra,MH,Solapur,72.0,20.5,81.3,81.9,60.3,89.6,1910.0,96.2,51.5,96.3
Maharashtra,MH,Thane,86.1,22.7,58.9,70.2,54.9,87.2,2275.0,93.6,50.6,93.9
Maharashtra,MH,Wardha,85.1,27.1,87.9,70.4,50.6,89.9,3482.0,98.8,72.4,99.0
Maharashtra,MH,Washim,76.0,24.1,63.4,60.0,44.5,83.4,3071.0,92.9,65.1,83.1
Maharashtra,MH,Yavatmal,77.6,29.0,77.1,66.9,41.7,85.6,1734.0,96.3,67.4,96.8
Manipur,MN,Bishnupur,81.5,9.3,84.2,77.4,57.4,79.0,16362.0,89.5,68.6,92.6
Manipur,MN,Chandel,76.9,16.1,77.6,66.6,44.2,55.0,10920.0,55.5,37.4,74.0
Manipur,MN,Churachandpur,84.0,18.2,69.0,61.3,28.5,58.2,10646.0,72.9,50.4,80.0
Manipur,MN,Imphal East,87.2,7.0,78.6,87.1,55.8,85.4,18578.0,91.7,66.7,93.0
Manipur,MN,Imphal West,89.0,15.7,83.2,93.4,60.9,90.8,14173.0,95.7,67.6,98.0
Manipur,MN,Senapati,79.6,15.4,73.9,64.9,28.4,37.0,12254.0,45.8,36.1,65.0
Manipur,MN,Tamenglong,78.4,16.8,69.4,56.4,31.0,52.7,8744.0,57.7,53.0,69.9
Manipur,MN,Thoubal,79.9,19.1,90.6,89.9,68.5,75.6,13144.0,87.8,72.4,91.1
Manipur,MN,Ukhrul,83.7,17.0,58.3,38.8,25.1,44.9,13190.0,44.6,21.0,54.5
Meghalaya,ML,East Garo Hills,90.9,71.9,59.2,25.5,28.8,59.9,2473.0,73.8,73.5,80.8
Meghalaya,ML,East Jaintia Hills,76.0,74.1,55.5,58.6,51.9,49.1,3464.0,48.4,36.3,55.7
Meghalaya,ML,East Khasi Hills,88.7,47.1,56.7,57.5,40.1,33.6,3258.0,63.4,48.4,68.7
Meghalaya,ML,North Garo Hills,91.3,60.8,40.3,24.3,23.7,40.5,4504.0,61.5,60.4,63.2
Meghalaya,ML,Ribhoi,85.3,66.8,56.1,61.0,48.8,39.5,3648.0,56.9,45.6,65.8
Meghalaya,ML,South Garo Hills,89.2,79.5,68.7,33.3,51.8,65.9,2370.0,88.3,88.3,91.2
Meghalaya,ML,South West Garo Hills,81.7,75.1,57.0,28.5,28.3,60.6,2666.0,83.7,83.7,88.3
Meghalaya,ML,South West Khasi Hills,84.6,72.3,48.5,63.4,53.8,42.9,3902.0,41.7,37.6,49.3
Meghalaya,ML,West Garo Hills,88.7,77.9,65.1,48.0,48.2,70.9,3235.0,89.6,85.1,87.5
Meghalaya,ML,West Jaintia Hills,73.8,65.6,44.0,43.1,32.7,28.6,2917.0,42.2,31.9,50.7
Meghalaya,ML,West Khasi Hills,85.1,60.1,45.3,64.0,51.6,42.0,2947.0,41.7,36.1,49.3
Mizoram,MZ,Aizawl,97.8,37.5,82.8,68.5,58.5,73.4,9812.0,97.4,76.3,97.8
Mizoram,MZ,Champhai,93.3,64.9,80.0,63.4,74.3,72.3,4336.0,96.7,91.5,97.5
Mizoram,MZ,Kolasib,93.9,61.1,72.7,66.0,67.7,71.5,4834.0,91.4,82.9,93.2
Mizoram,MZ,Lawngtlai,79.9,31.3,51.5,33.0,50.7,46.2,7318.0,53.7,48.4,59.9
Mizoram,MZ,Lunglei,89.8,46.5,68.8,56.7,64.7,67.1,5717.0,82.7,69.4,80.2
Mizoram,MZ,Mamit,90.7,61.7,64.5,52.5,68.8,63.9,4150.0,75.0,71.8,81.1
Mizoram,MZ,Saiha,92.2,44.2,60.7,35.5,51.4,59.6,7521.0,73.8,70.3,80.5
Mizoram,MZ,Serchhip,96.8,58.8,77.6,60.3,73.0,86.2,6449.0,96.2,90.7,96.8
Nagaland,NL,Dimapur,89.8,5.7,71.4,50.1,14.9,68.7,7330.0,73.7,43.2,80.7
Nagaland,NL,Kiphire,77.4,8.8,27.2,5.8,1.6,31.9,6288.0,34.8,33.8,46.7
Nagaland,NL,Kohima,90.4,26.7,61.9,28.3,17.2,58.9,4970.0,66.9,44.7,78.9
Nagaland,NL,Longleng,81.2,38.3,42.3,15.4,2.6,28.5,7152.0,38.7,37.8,44.6
Nagaland,NL,Mokokchung,88.0,22.3,51.6,18.2,12.5,47.4,6242.0,51.5,47.3,61.7
Nagaland,NL,Mon,79.4,39.3,44.6,9.7,10.6,25.6,2965.0,21.4,20.2,30.9
Nagaland,NL,Peren,81.1,5.4,45.1,14.5,6.1,46.9,4945.0,43.5,38.7,52.5
Nagaland,NL,Phek,80.5,24.9,50.1,9.5,13.5,39.6,5886.0,32.2,29.2,50.7
Nagaland,NL,Tuensang,80.5,22.0,27.1,4.4,3.3,29.5,3394.0,34.8,34.1,39.2
Nagaland,NL,Wokha,85.8,20.6,57.8,34.7,12.9,50.7,7125.0,43.6,24.2,63.5
Nagaland,NL,Zunheboto,87.4,18.1,46.5,11.2,5.5,24.9,7554.0,35.0,32.2,40.5
Sikkim,SK,East District,86.4,29.9,53.4,43.8,48.3,65.8,8471.0,91.8,70.4,94.2
Sikkim,SK,North District,78.5,24.5,66.2,59.4,74.0,71.3,7390.0,97.3,91.1,98.5
Sikkim,SK,South District,80.2,20.8,78.1,84.5,71.3,83.1,11031.0,97.4,86.4,99.4
Sikkim,SK,West District,81.8,19.9,75.8,70.4,48.6,63.6,5361.0,99.3,89.9,99.3
Telangana,TG,Adilabad,58.6,63.6,89.7,74.8,44.4,83.4,4105.0,94.1,66.8,93.9
Telangana,TG,Bhadradri Kothagudem,62.7,59.4,92.8,70.1,62.5,87.1,3255.0,97.4,53.9,94.2
Telangana,TG,Hyderabad,80.3,48.9,87.9,69.9,72.2,91.2,2815.0,98.3,48.3,94.6
Telangana,TG,Jagitial,55.9,59.2,94.6,81.9,53.5,84.1,3494.0,94.4,39.8,91.9
Telangana,TG,Jangoan,56.6,71.7,89.7,65.4,59.4,85.6,4741.0,99.6,49.6,90.1
Telangana,TG,Jayashankar Bhupalapally,52.4,71.5,94.6,72.7,58.9,89.1,5993.0,99.5,61.3,95.1
Telangana,TG,Jogulamba Gadwal,47.8,61.8,88.3,72.9,56.6,88.3,2832.0,94.2,46.5,91.7
Telangana,TG,Kamareddy,51.1,66.5,87.5,79.5,56.1,86.8,5957.0,97.1,59.1,93.2
Telangana,TG,Karimnagar,63.6,58.6,92.3,69.6,48.8,89.5,4573.0,98.4,34.2,86.9
Telangana,TG,Khammam,61.8,60.4,84.9,76.3,66.7,93.2,3771.0,97.9,39.0,93.2
Telangana,TG,Komaram Bheem Asifabad,52.9,63.6,80.0,68.8,49.0,85.5,4121.0,82.0,55.7,83.4
Telangana,TG,Mahabubabad,55.0,69.3,87.8,67.7,52.1,91.5,3234.0,97.7,41.5,95.4
Telangana,TG,Mahabubnagar,54.8,70.3,86.2,62.6,69.1,84.9,2369.0,98.1,59.2,97.6
Telangana,TG,Mancherial,58.4,64.4,86.7,64.7,68.1,87.7,3041.0,90.1,33.9,96.9
Telangana,TG,Medak,52.3,61.2,78.9,68.5,41.8,80.8,6139.0,98.9,62.2,92.9
Telangana,TG,Medchal-Malkajgiri,72.9,53.8,89.4,69.6,60.8,90.6,3534.0,98.3,39.4,96.2
Telangana,TG,Nagarkurnool,51.1,68.6,92.4,75.1,65.9,90.3,2975.0,98.0,56.2,94.5
Telangana,TG,Nalgonda,59.8,64.8,90.5,65.7,66.8,92.2,4320.0,98.3,57.4,99.0
Telangana,TG,Nirmal,53.3,49.9,85.2,69.7,58.7,87.2,5080.0,96.7,31.3,91.6
Telangana,TG,Nizamabad,54.3,52.3,87.9,78.5,40.9,79.5,5262.0,97.3,46.4,91.8
Telangana,TG,Peddapalli,61.3,59.1,83.5,77.9,61.0,87.6,3850.0,96.5,45.8,96.2
Telangana,TG,Rajanna Sircilla,56.4,62.8,90.4,67.1,55.2,89.9,3065.0,97.6,37.7,95.4
Telangana,TG,Ranga Reddy,68.6,58.3,95.5,75.1,48.2,89.8,3499.0,97.2,48.2,92.7
Telangana,TG,Sangareddy,60.2,58.1,82.8,66.4,44.0,84.7,4718.0,93.0,63.2,95.1
Telangana,TG,Siddipet,60.8,60.9,86.1,62.6,60.6,74.1,5528.0,99.7,47.3,90.5
Telangana,TG,Suryapet,57.4,63.1,92.7,70.4,67.1,88.6,3615.0,95.9,40.5,94.2
Telangana,TG,Vikarabad,53.1,59.6,78.0,54.8,37.2,80.8,3201.0,95.0,54.9,86.7
Telangana,TG,Wanaparthy,49.3,70.1,91.4,62.8,64.3,87.6,2989.0,99.0,51.4,96.6
Telangana,TG,Warangal Rural,51.8,72.0,86.8,70.4,51.9,93.8,3713.0,100.0,63.1,94.5
Telangana,TG,Warangal Urban,70.3,62.0,88.4,71.3,63.7,92.6,2825.0,99.7,41.9,93.0
Telangana,TG,Yadadri Bhuvanagiri,59.1,65.3,92.1,67.2,60.5,93.2,3082.0,97.7,54.9,94.1
Tripura,TR,Dhalai,74.8,44.2,58.1,52.0,26.0,72.4,4010.0,87.3,84.5,87.7
Tripura,TR,Gomati,80.1,29.9,54.0,40.6,22.0,66.3,10954.0,93.2,90.0,94.1
Tripura,TR,Khowai,81.3,44.1,57.2,41.5,38.0,59.7,7328.0,95.7,90.7,95.2
Tripura,TR,North Tripura,86.4,28.7,75.5,67.1,17.3,76.6,4418.0,85.4,65.2,86.7
Tripura,TR,Sepahijala,78.9,31.6,61.9,52.8,18.8,72.1,8389.0,87.7,81.7,87.2
Tripura,TR,South Tripura,80.4,37.3,54.2,58.4,29.5,68.0,7199.0,89.7,80.9,88.6
Tripura,TR,Unakoti,81.6,28.0,41.0,24.6,31.6,44.5,7693.0,71.5,55.4,66.0
Tripura,TR,West Tripura,85.3,28.1,78.7,61.2,31.8,87.7,5556.0,95.3,79.8,96.9
West Bengal,WB,Bankura,68.7,43.4,74.7,75.7,60.5,67.2,3274.0,93.3,83.3,93.8
West Bengal,WB,Birbhum,73.6,37.7,81.9,78.4,51.5,67.5,1391.0,90.3,72.7,92.2
West Bengal,WB,Dakshin Dinajpur,77.7,28.3,70.9,76.4,76.2,83.2,2593.0,91.4,81.2,94.0
West Bengal,WB,Darjeeling,78.3,26.3,85.0,79.2,62.2,73.9,2183.0,98.4,79.5,99.2
West Bengal,WB,Haora,82.0,20.1,84.8,82.7,69.2,70.7,2166.0,95.5,60.8,96.9
West Bengal,WB,Hugli,81.0,26.5,76.0,72.2,68.1,56.7,4558.0,97.0,67.9,97.4
West Bengal,WB,Jalpaiguri,73.7,35.8,77.5,88.4,70.7,74.8,2243.0,95.8,83.2,97.7
West Bengal,WB,Koch Bihar,75.7,36.0,71.3,77.3,58.8,71.9,2499.0,93.0,81.3,92.5
West Bengal,WB,Kolkata,87.2,21.1,74.2,71.7,67.5,72.8,1969.0,97.5,69.9,99.3
West Bengal,WB,Maldah,71.3,29.0,77.8,82.8,58.8,61.6,1961.0,87.7,76.6,88.9
West Bengal,WB,Murshidabad,74.7,28.4,73.9,66.9,52.8,49.8,2662.0,87.0,71.5,92.3
West Bengal,WB,Nadia,77.6,23.0,61.1,71.2,57.9,89.4,3776.0,97.7,54.2,98.6
West Bengal,WB,North Twenty Four Parganas,82.4,30.7,72.7,89.9,73.3,87.8,2809.0,97.5,74.4,98.3
West Bengal,WB,Paschim Barddhaman,74.8,21.8,70.3,70.4,57.0,64.1,3020.0,89.8,62.7,91.3
West Bengal,WB,Paschim Medinipur,72.1,25.8,52.6,63.1,64.3,79.7,3388.0,87.6,72.0,95.1
West Bengal,WB,Purba Barddhaman,71.2,37.2,72.5,80.5,68.3,65.2,1892.0,96.0,70.3,94.3
West Bengal,WB,Purba Medinipur,83.0,21.5,69.3,56.8,51.6,48.5,4390.0,91.5,71.5,94.6
West Bengal,WB,Puruliya,63.6,35.6,59.1,57.8,53.4,51.5,2478.0,89.8,82.7,91.4
West Bengal,WB,South Twenty Four Parganas,80.9,36.7,77.1,87.5,67.2,67.0,2142.0,91.0,77.7,93.2
West Bengal,WB,Uttar Dinajpur,68.1,21.0,76.6,70.1,59.3,60.9,2706.0,76.9,58.9,84.7
